#VV_energy_vs_Ef	VV_edos	VV_edos_elph1000K
-6.92603037	0	0.0199081730946678
-6.92103037	0	0.0199920411294019
-6.91603037	0	0.020076962635577
-6.91103037	0	0.0201629622832116
-6.90603037	0	0.0202500655250186
-6.90103037	0	0.0203382986249925
-6.89603037	0	0.0204276886880129
-6.89103037	0	0.0205182636904856
-6.88603037	0	0.020610052512035
-6.88103037	0	0.0207030849682621
-6.87603037	0	0.0207973918445774
-6.87103037	0	0.0208930049311115
-6.86603037	0	0.0209899570587043
-6.86103037	0	0.0210882821359635
-6.85603037	0	0.0211880151873783
-6.85103037	0	0.0212891923924635
-6.84603037	0	0.021391851125901
-6.84103037	0	0.0214960299986311
-6.83603037	0	0.021601768899836
-6.83103037	0	0.0217091090397389
-6.82603037	0	0.0218180929931274
-6.82103037	0	0.021928764743487
-6.81603037	0	0.022041169727611
