#  E (eV)   dosup(E)     dosdw(E)   Int dos(E)
 21.707  0.1280E-01  0.1308E+00  0.1236E+02
 21.807  0.1212E-01  0.7223E-01  0.1237E+02
 21.907  0.3447E-01  0.3218E-01  0.1238E+02
 22.007  0.9353E-01  0.1910E-01  0.1239E+02
 22.107  0.1964E+00  0.3634E-01  0.1241E+02
 22.207  0.3149E+00  0.9395E-01  0.1245E+02
 22.307  0.3856E+00  0.1965E+00  0.1251E+02
 22.407  0.3607E+00  0.3150E+00  0.1258E+02
 22.507  0.2591E+00  0.3856E+00  0.1264E+02
 22.607  0.1472E+00  0.3603E+00  0.1269E+02
 22.707  0.7697E-01  0.2576E+00  0.1273E+02
 22.807  0.5569E-01  0.1428E+00  0.1275E+02
 22.907  0.6070E-01  0.6754E-01  0.1276E+02
 23.007  0.6561E-01  0.4131E-01  0.1277E+02
 23.107  0.5709E-01  0.4679E-01  0.1278E+02
 23.207  0.3827E-01  0.6056E-01  0.1279E+02
 23.307  0.1968E-01  0.6447E-01  0.1280E+02
 23.407  0.8269E-02  0.5294E-01  0.1281E+02
 23.507  0.5708E-02  0.3328E-01  0.1281E+02
 23.607  0.1531E-01  0.1644E-01  0.1281E+02
 23.707  0.4888E-01  0.8877E-02  0.1282E+02
 23.807  0.1229E+00  0.1510E-01  0.1283E+02
 23.907  0.2363E+00  0.4564E-01  0.1286E+02
 24.007  0.3467E+00  0.1163E+00  0.1291E+02
 24.107  0.3884E+00  0.2278E+00  0.1297E+02
 24.207  0.3322E+00  0.3406E+00  0.1304E+02
 24.307  0.2172E+00  0.3888E+00  0.1310E+02
 24.407  0.1103E+00  0.3388E+00  0.1314E+02
 24.507  0.5049E-01  0.2256E+00  0.1317E+02
 24.607  0.4150E-01  0.1166E+00  0.1319E+02
 24.707  0.7349E-01  0.5349E-01  0.1320E+02
 24.807  0.1300E+00  0.4209E-01  0.1322E+02
 24.907  0.1808E+00  0.7276E-01  0.1324E+02
